Year,Month,Day,ETH to USD,Latency - 100 GWei,Deploy (StackelbergGameOffChain),Deploy (StackelbergGameOnChain),grantRole,revokeRole,initialize,input,initEvaluation,output (StackelbergGameOffChain),output (StackelbergGameOnChain)
2022,6,9,1787.71,446.3166132377899,396.95599991200004,483.112359339,9.301097588000001,5.386370230000001,12.590483988,23.232185305,5.508649594,41.971140296,52.065087268999996
2022,6,10,1661.1,243.68744370383715,368.84260392,448.8971589899999,8.64237108,5.0048943,11.698795079999998,21.586825049999998,5.1185135399999995,38.99864135999999,48.377710289999996
2022,6,11,1530.28,79.76504297994269,339.794389216,413.544244452,7.961740784,4.61073364,10.777455984000001,19.886753740000003,4.715404792,35.927301727999996,44.567721692
2022,6,12,1434.02,82.51572327044025,318.420125744,387.530855418,7.460919256000001,4.320702260000001,10.099516056,18.635806910000003,4.4187892280000005,33.66734795200001,41.764255078
2022,6,13,1209.12,940.3617176128093,268.481710464,326.75367700799995,6.290809536,3.6430785599999993,8.515590335999999,15.71311896,3.7257823679999995,28.387235712,35.214289967999996
2022,6,14,1206.94,417.4587089794446,267.99764756800005,326.16455184600005,6.279467432000001,3.636510220000001,8.500237032000001,15.684788770000003,3.7190649160000007,28.336054544,35.15079986600001
2022,6,15,1236.89,476.21612726275373,274.647961208,334.25826680100005,6.4352912920000005,3.72674957,8.711168892000002,16.074003995,3.8113528460000006,29.039208664000004,36.023060671
2022,6,16,1067.1,60.140621695918796,236.94656712,288.37406439,5.55190788,3.2151723,7.515371879999999,13.867498049999998,3.2881619399999997,25.05294696,31.07811369
2022,6,17,1085.21,105.40351841671247,240.967841912,293.268127089,5.646130588000001,3.2697377300000006,7.6429169880000005,14.102846555000001,3.3439660940000007,25.478126296000003,31.605547519000005
2022,6,18,994.41,386.4820353820901,220.80595615200002,268.730253369,5.173716348,2.9961573300000004,7.003430748,12.922855155,3.064174974,23.346360216,28.961097399000003
2022,6,19,1127.03,71.60019743336623,250.253855816,304.569601527,5.863711683999999,3.3957413899999995,7.937446883999999,14.646318364999999,3.4728302419999997,26.459959528,32.823509017
2022,6,20,1126.99,45.0,250.24497392800004,304.55879189100006,5.863503572000001,3.3956208700000006,7.937165172,14.645798545000002,3.472706986,26.459020424000002,32.822344061
2022,6,21,1124.71,140.3438128772636,249.738706312,303.94264263900004,5.851641188,3.3887512300000004,7.921107588000001,14.616168805000001,3.465681394,26.405491496,32.755941569
2022,6,22,1048.3,51.63722983964676,232.77207976,283.29353547,5.45409524,3.1585279,7.38296724,13.623182649999999,3.23023162,24.611568079999998,30.530584369999996
2022,6,23,1143.46,346.165932792584,253.90209131200004,309.009659514,5.949193688,3.44524498,8.053160088000002,14.859834430000001,3.5234576440000005,26.845696496000006,33.30201469400001
2022,6,24,1224.12,120.89371980676329,271.812418464,330.807290508,6.368851536,3.6882735600000003,8.621232336,15.90805146,3.772003368,28.739399712,35.651148468
2022,6,25,1241.0,62.41868029739777,275.5605752,335.3689569,6.456674800000001,3.739133,8.7401148,16.1274155,3.8240174000000002,29.1357016,36.1427599
2022,6,26,1198.25,135.0743840074384,266.0680574,323.81615842499997,6.2342550999999995,3.6103272499999997,8.439035099999998,15.571857875000001,3.69228755,28.1320342,34.897713175
2022,6,27,1190.73,325.66085541608555,264.398262456,321.78394685700005,6.195130044,3.5876694900000006,8.386073244,15.474131715,3.669115422,27.955482648,34.678701447
